sensitivity,specificity,prevalence,tolerance_frac_prev,z,tolerance,min_n
1,1,0.04,0.1,1.96,0.004,9219.84
0.8,0.8,0.045,0.1,1.96,0.0045,92467.6808779149
0.85,0.8,0.045,0.1,1.96,0.0045,79338.3710833516
0.9,0.8,0.045,0.1,1.96,0.0045,68878.852345679
0.95,0.8,0.045,0.1,1.96,0.0045,60406.9203840878
1,0.8,0.045,0.1,1.96,0.0045,53445.6671604938
0.8,0.85,0.045,0.1,1.96,0.0045,66058.7661450799
0.85,0.85,0.045,0.1,1.96,0.0045,57515.6918518518
0.9,0.85,0.045,0.1,1.96,0.0045,50584.2284773663
0.95,0.85,0.045,0.1,1.96,0.0045,44879.1362962963
1,0.85,0.045,0.1,1.96,0.0045,40124.2147276688
0.8,0.9,0.045,0.1,1.96,0.0045,44216.7288888889
0.85,0.9,0.045,0.1,1.96,0.0045,39075.2375308642
0.9,0.9,0.045,0.1,1.96,0.0045,34830.5066666667
0.95,0.9,0.045,0.1,1.96,0.0045,31282.085290273
1,0.9,0.045,0.1,1.96,0.0045,28282.9236762689
0.8,0.95,0.045,0.1,1.96,0.0045,25879.9475445816
0.85,0.95,0.045,0.1,1.96,0.0045,23299.7782716049
0.9,0.95,0.045,0.1,1.96,0.0045,21127.0932786535
0.95,0.95,0.045,0.1,1.96,0.0045,19277.6183874409
1,0.95,0.045,0.1,1.96,0.0045,17688.0843144899
0.8,1,0.045,0.1,1.96,0.0045,10286.9511111111
0.85,1,0.045,0.1,1.96,0.0045,9659.23869281046
0.9,1,0.045,0.1,1.96,0.0045,9101.27209876544
0.95,1,0.045,0.1,1.96,0.0045,8602.03883040936
1,1,0.045,0.1,1.96,0.0045,8152.72888888889
0.8,0.8,0.05,0.1,1.96,0.005,75594.1511111111
0.85,0.8,0.05,0.1,1.96,0.005,64900.3086390532
0.9,0.8,0.05,0.1,1.96,0.005,56377.4399999999
0.95,0.8,0.05,0.1,1.96,0.005,49471.2711111111
1,0.8,0.05,0.1,1.96,0.005,43794.24
0.8,0.85,0.05,0.1,1.96,0.005,54262.0317159763
0.85,0.85,0.05,0.1,1.96,0.005,47283.0399999999
0.9,0.85,0.05,0.1,1.96,0.005,41617.3333333333
0.95,0.85,0.05,0.1,1.96,0.005,36951.3899999999
1,0.85,0.05,0.1,1.96,0.005,33060.3576470588
0.8,0.9,0.05,0.1,1.96,0.005,36620.64
0.85,0.9,0.05,0.1,1.96,0.005,32397.4933333333
0.9,0.9,0.05,0.1,1.96,0.005,28908.04
0.95,0.9,0.05,0.1,1.96,0.005,25988.6233910034
1,0.9,0.05,0.1,1.96,0.005,23519.1288888889
0.8,0.95,0.05,0.1,1.96,0.005,21811.7511111111
0.85,0.95,0.05,0.1,1.96,0.005,19664.19
0.9,0.95,0.05,0.1,1.96,0.005,17853.470449827
0.95,0.95,0.05,0.1,1.96,0.005,16310.2004938271
1,0.95,0.05,0.1,1.96,0.005,14982.24
0.8,1,0.05,0.1,1.96,0.005,9219.84
0.85,1,0.05,0.1,1.96,0.005,8654.89882352941
0.9,1,0.05,0.1,1.96,0.005,8152.72888888889
0.95,1,0.05,0.1,1.96,0.005,7703.41894736842
1,1,0.05,0.1,1.96,0.005,7299.04
0.8,0.8,0.055,0.1,1.96,0.0055,63042.8078604224
0.85,0.8,0.055,0.1,1.96,0.0055,54156.0772732163
0.9,0.8,0.055,0.1,1.96,0.0055,47070.5176859504
0.95,0.8,0.055,0.1,1.96,0.0055,41326.6557943067
1,0.8,0.055,0.1,1.96,0.0055,36603.1457851239
0.8,0.85,0.055,0.1,1.96,0.0055,45461.801367304
0.85,0.85,0.055,0.1,1.96,0.0055,39645.1953719008
0.9,0.85,0.055,0.1,1.96,0.0055,34920.4614876033
0.95,0.85,0.055,0.1,1.96,0.0055,31027.2697520661
1,0.85,0.055,0.1,1.96,0.0055,27778.8579873602
0.8,0.9,0.055,0.1,1.96,0.0055,30924.0052892562
0.85,0.9,0.055,0.1,1.96,0.0055,27385.422369146
0.9,0.9,0.055,0.1,1.96,0.0055,24459.2449586777
0.95,0.9,0.055,0.1,1.96,0.0055,22009.1524767651
1,0.9,0.055,0.1,1.96,0.0055,19935.0466115702
0.8,0.95,0.055,0.1,1.96,0.0055,18721.5384389348
0.85,0.95,0.055,0.1,1.96,0.0055,16899.0714049587
0.9,0.95,0.055,0.1,1.96,0.0055,15360.5885487146
0.95,0.95,0.055,0.1,1.96,0.0055,14047.8073502704
1,0.95,0.055,0.1,1.96,0.0055,12916.8995911266
0.8,1,0.055,0.1,1.96,0.0055,8346.74909090909
0.85,1,0.055,0.1,1.96,0.0055,7833.16620320855
0.9,1,0.055,0.1,1.96,0.0055,7376.64808080808
0.95,1,0.055,0.1,1.96,0.0055,6968.18449760765
1,1,0.055,0.1,1.96,0.0055,6600.56727272727
0.8,0.8,0.06,0.1,1.96,0.006,53445.6671604938
0.85,0.8,0.06,0.1,1.96,0.006,45937.3021959237
0.9,0.8,0.06,0.1,1.96,0.006,39948.2844444444
0.95,0.8,0.06,0.1,1.96,0.006,35091.3560493827
1,0.8,0.06,0.1,1.96,0.006,31095.6177777778
0.8,0.85,0.06,0.1,1.96,0.006,38713.7808284023
0.85,0.85,0.06,0.1,1.96,0.006,33785.1733333333
0.9,0.85,0.06,0.1,1.96,0.006,29779.5140740741
0.95,0.85,0.06,0.1,1.96,0.006,26477.0275
1,0.85,0.06,0.1,1.96,0.006,23719.9968627451
0.8,0.9,0.06,0.1,1.96,0.006,26533.1733333333
0.85,0.9,0.06,0.1,1.96,0.006,23519.1288888889
0.9,0.9,0.06,0.1,1.96,0.006,21024.7566666666
0.95,0.9,0.06,0.1,1.96,0.006,18934.6127797001
1,0.9,0.06,0.1,1.96,0.006,17163.889382716
0.8,0.95,0.06,0.1,1.96,0.006,16310.2004938271
0.85,0.95,0.06,0.1,1.96,0.006,14738.8052777778
0.9,0.95,0.06,0.1,1.96,0.006,13410.7434986544
