prevalence,"(0.8, 0.8)","(0.85, 0.8)","(0.9, 0.8)","(0.95, 0.8)","(1.0, 0.8)","(0.8, 0.85)","(0.85, 0.85)","(0.9, 0.85)","(0.95, 0.85)","(1.0, 0.85)","(0.8, 0.9)","(0.85, 0.9)","(0.9, 0.9)","(0.95, 0.9)","(1.0, 0.9)","(0.8, 0.95)","(0.85, 0.95)","(0.9, 0.95)","(0.95, 0.95)","(1.0, 0.95)","(0.8, 1.0)","(0.85, 1.0)","(0.9, 1.0)","(0.95, 1.0)","(1.0, 1.0)"
0.155,143.765045380969,124.359844451354,108.772734131113,96.0448580760782,85.5028329864724,111.098898321522,97.7337122788761,86.7728728754769,77.6561726066597,69.9794428291608,84.1452627471383,75.2800528962886,67.8576066597294,61.5677429346593,56.1808738004394,61.5663981385131,56.1071351456815,51.4270194236108,47.3746470047918,43.8347857221096,42.4047580645161,39.5572722960152,37.0261738351255,34.7615067911715,32.7233064516129
0.16,135.723194444444,117.421686390532,102.71625,90.7044444444444,80.7523828125,105.15696283284,92.5238671874999,82.15921875,73.5350213623046,66.2702481617647,79.9389062499999,71.5297916666667,64.4858422851562,58.5139900519031,53.3972395833333,58.8161631944444,53.6048455810546,49.1350838019031,45.2630647183642,41.8792845394737,40.89203125,38.1335294117647,35.6815277777778,33.4876315789474,31.513125
0.165,128.366288899092,111.072358319614,97.1719719926538,85.8141309560249,76.4009664830119,99.7092870474513,87.7454338842975,77.9259358738904,69.7521918044076,62.8642963052989,76.0691253443526,68.0779407713499,61.3809366391184,55.7006847255188,50.8317005917763,56.2701456484032,51.2872009871441,47.0112772821006,43.3055241245224,40.0656939007298,39.4709848484848,36.7960739750446,34.4183754208754,32.2909609250399,30.3762878787879
0.17,121.616973279508,105.245488370426,92.0822750865051,81.3233746635909,72.4038581314879,94.7007718412808,83.3504411764705,74.0308333333333,66.2702481617646,59.728112660289,72.4992301038062,64.8920790080738,58.5139900519031,53.1018689610996,48.4607833525567,53.9071116878124,49.1350838019031,45.0382622035177,41.4862009269939,38.3794887087962,38.1335294117647,35.5372923875432,33.2295261437909,31.1646826625387,29.3063235294118
0.175,115.408611111111,99.8838905325443,87.3974999999999,77.1886111111111,68.7225,90.0838905325443,79.2974999999999,70.4375,63.0568749999999,56.832794117647,69.1974999999999,61.9441666666666,55.86,50.6950778546713,46.2641666666667,51.7086111111111,47.1318749999999,43.2009602076124,39.7913271604938,36.8080263157894,36.8725,34.3504411764706,32.1086111111111,30.1027631578947,28.2975
0.18,109.683542524005,94.938072722624,83.0746604938271,73.3721227709191,65.3235030864198,85.8174649353495,75.5507407407407,67.1143724279835,60.0840523726851,54.1532734204793,66.1363888888889,59.2098456790123,53.3972395833333,48.4607833525567,44.2241803840878,49.6585425240055,45.2630647183642,41.4862009269939,38.2088721231519,35.3402550357375,35.6815277777778,33.2295261437908,31.0499691358025,29.0998391812865,27.3447222222222
0.185,104.391664434705,90.3650208872714,79.0763897005113,69.8411165895625,62.1778323593864,81.8656670635932,72.078946311176,64.03397431215,57.3273826698319,51.6677187083745,63.2918754565376,56.6678676649623,51.1067494521549,46.381939428674,42.3253954630306,47.7427966479993,43.515932706355,39.8824335635083,36.7282803298794,33.966474664565,34.5549324324324,32.1692011128776,30.0485510510511,28.151127311522,26.4434459459459
0.19,99.4892666974453,86.1272021750889,75.3700761772852,66.5669675284703,59.2601385041551,78.1972000442557,68.8548407202215,61.1722922437673,54.7655380020775,49.3570404920971,60.6429293628808,54.2996237303786,48.9719200138504,44.4436079853157,40.5542867036011,45.9489619883041,41.8792845394736,38.3794887087962,35.3402550357375,32.678138577052,33.4876315789473,31.1646826625387,29.0998391812865,27.2523476454293,25.5896052631579
0.195,94.938072722624,82.1917431209613,71.9271515450361,63.5245947476075,56.5482067718606,74.7846222996393,65.8545019723865,58.5082604646066,52.3798039940828,47.2044845689755,58.1710700197238,52.0887557527942,46.9781459566075,42.6326494304648,38.8989537219665,44.2660806121703,40.3432326594345,36.9683805671009,34.0365784165713,31.4676892799059,32.4750641025641,30.2116779788838,28.1997792022792,26.3996592442645,24.7795512820513
0.2,90.7044444444444,78.52974852071,68.7224999999999,60.6919444444444,54.0225,71.6037869822485,63.0568749999999,56.0233333333333,50.1537011718749,45.195294117647,55.8599999999999,50.0208333333333,45.1125390625,40.9374653979239,37.3488888888889,42.6844444444444,38.899013671875,35.6411418685121,32.8099614197531,30.3284210526316,31.513125,29.3063235294118,27.3447222222222,25.5896052631579,24.01
0.205,86.7587201731773,75.1157340745329,65.7339663890541,58.049558959614,51.6657778108268,68.6333746730777,60.4433655562165,53.7011287923854,48.0726691701367,43.3164278090772,53.6952989292087,48.083083977791,43.3636882807852,39.3477837534916,35.8947833630775,41.1954245158305,37.5388351427721,34.3906853876729,31.6539177701397,29.2543646482357,30.5981097560975,28.4451327116212,26.5313753387534,24.8190661103979,23.277987804878
0.21,83.0746604938271,71.9271515450361,62.9419444444444,55.5802160493827,49.4627777777778,65.8545019723866,57.9974999999999,51.5271296296296,46.1238020833333,41.5563235294117,51.6641666666666,46.2641666666667,41.7214583333333,37.8544780853518,34.5283641975309,39.7913271604938,36.2557465277777,33.2106872356786,30.5626577503429,28.2401900584795,29.7266666666667,27.6249509803921,25.7567592592593,24.0852192982456,22.5808333333333
0.215,79.6289824830238,68.9439895465644,60.3290305570578,53.2686255333213,47.3999472687939,63.2503921758443,55.7046389940508,49.4884320353344,44.2956256760411,39.9046994400789,49.7552068685776,44.5539809807103,40.1768199026501,36.4494154653876,33.2422569256655,38.4652723694489,35.0435299486208,32.0954880642487,29.5309982539778,27.2811241496114,28.8957558139535,26.8429172366621,25.0181718346253,23.3855048959608,21.9161046511628
0.22,76.4009664830119,66.1484364761113,57.8797314049586,51.1011730945822,45.4652169421487,60.8060969974081,53.55173553719,47.5735330578512,42.5779090263429,38.3523857559553,47.9582438016529,42.9435055096419,38.7217058367768,35.125327504361,32.0298691460055,37.2110904499541,33.8966073734504,31.0400090794704,28.5542862973166,26.372880600261,28.1026136363636,26.0964304812834,24.3131565656566,22.7175956937799,21.2815909090909
0.225,73.372122770919,63.5245947476075,55.5802160493827,49.0657030178326,43.6478086419753,58.5082604646066,51.5271296296296,45.7721502057613,40.9615046296296,36.8911819172113,46.2641666666666,41.4246604938272,37.3488888888889,33.8757006920415,30.8852914951989,36.0232338820302,32.8099614197531,30.039680357982,27.6283337143728,25.5116000649772,27.3447222222222,25.3831209150327,23.639475308642,22.0793713450292,20.6752777777778
0.23,70.5259078975005,61.0582375756423,53.4181049149338,47.1513332283134,41.9380718336484,56.3449178141184,49.6203733459357,44.0750677378702,39.4382121337429,35.5137348493272,44.6647967863894,39.9901906112161,36.0518773629489,32.6946827761461,29.8032130854862,34.8967018483512,31.7790675212665,29.0903794290984,26.7493611869588,24.6937988757337,26.6197826086956,24.7008248081841,22.9950845410628,21.4688958810069,20.0953260869565
0.235,67.8474823952517,58.7366012024504,51.3822894975101,45.3482972435994,40.3273438207333,54.3053235620283,47.8220812584879,42.4740052059755,38.000661781349,34.2134348121322,43.1527738795835,38.6335645842764,34.8248257129923,31.5770025383732,28.7788490267089,33.8269753785021,30.7998356156632,28.1883784604034,25.9139501003191,23.9163249029091,25.9256914893617,24.0475625782228,22.3781146572104,20.8843980963046,19.5400531914894
0.24,65.3235030864197,56.5482067718606,49.4627777777778,43.6478086419753,38.8078298611111,52.3798039940828,46.1238020833333,40.9615046296296,36.6422143554687,32.9843259803921,41.7214583333333,37.3488888888889,33.6624576822917,30.5179008073818,27.8078780864197,32.8099614197531,29.8685598415798,27.3302986831988,25.1190009859396,23.1763194444444,25.2605208333333,23.4215196078431,21.7868518518518,20.3242543859649,19.0079166666667
